,caderaDer_x,caderaDer_y,caderaDer_z,pieDer_x,pieDer_y,pieDer_z,pieIzq_x,pieIzq_y,pieIzq_z,rodillaDer_x,rodillaDer_y,rodillaDer_z,rodillaIzq_x,rodillaIzq_y,rodillaIzq_z,caderaIzq_x,caderaIzq_y,caderaIzq_z
0,-150.42,20.615,786.43,-80.193,28.412,120.98,-40.725,46.251,111.71,-107.42,-4.6341,468.48,-46.959,17.11,461.1,-40.494,32.089,771.46
1,-150.48,21.046,786.55,-80.089,29.131,120.38,-40.382,46.625,111.37,-107.01,-6.3412,468.34,-46.461,16.423,460.17,-40.499,32.466,771.4
2,-150.24,21.388,786.77,-79.805,30.599,119.22,-39.965,47.84,110.48,-106.48,-8.6608,467.98,-45.266,15.046,458.41,-39.501,34.208,771.2
3,-149.31,20.323,787.04,-79.971,30.617,118.83,-39.471,48.597,110.32,-105.74,-8.7955,468.24,-44.329,14.528,458.22,-38.642,33.149,771.11
4,-147.33,18.678,786.33,-80.293,29.874,118.78,-39.758,48.699,110.94,-105.79,-8.3034,468.33,-43.319,14.048,458.96,-35.329,33.058,770.16
5,-143.89,18.871,784.81,-80.219,28.566,118.5,-40.007,47.241,112.51,-102.61,-9.1142,462.56,-41.446,14.152,455.98,-31.294,35.09,768.12
6,-139.53,19.549,783.02,-79.678,27.288,118.75,-40.64,46.351,113.52,-98.122,-10.848,454.93,-38.536,15.497,450.29,-27.004,39.565,764.76
7,-135.22,20.096,782.09,-78.784,26.717,118.64,-40.503,45.4,114.47,-92.719,-17.116,446.38,-34.96,15.643,440.58,-23.796,43.402,762.37
8,-131.63,18.095,781.36,-78.383,26.527,118.61,-40.424,45.562,114.49,-90.805,-24.496,443.44,-31.666,13.82,435.15,-20.799,41.812,761.24
9,-127.83,15.074,780.62,-78.261,26.413,118.63,-39.878,44.558,114.64,-89.9,-32.654,443.05,-29.382,10.276,431.9,-16.268,39.186,760.89
10,-124.44,12.742,779.56,-77.928,25.805,118.95,-39.584,43.957,114.25,-88.337,-41.002,443.43,-27.235,7.698,430.12,-12.328,35.958,759.75
11,-119.96,10.635,778.35,-77.396,26.655,119.24,-39.246,43.664,113.51,-86.981,-49.041,445.76,-25.931,4.5099,430.76,-8.5316,33.944,758.08
12,-116.54,8.748,777.53,-76.97,27.447,119.7,-38.891,43.367,113.32,-84.996,-57.452,446.82,-24.523,2.708,431.01,-6.3304,30.613,756.65
13,-112.74,7.9039,777.02,-76.807,28.925,120.38,-38.538,43.541,112.77,-83.253,-63.921,448.33,-23.764,0.89671,432.42,-3.4525,27.281,755.66
14,-110.31,9.5905,776.47,-76.695,29.106,122.04,-38.253,43.265,112.88,-80.435,-70.447,447.95,-22.848,1.0918,430.67,-0.87296,24.08,755.03
15,-107.3,11.518,775.18,-76.593,29.153,123.41,-38.225,43.356,112.66,-78.479,-74.584,448.04,-21.423,1.5221,428.7,0.81854,21.793,754.91
16,-105.79,14.617,773.24,-76.916,29.336,124.49,-38.227,43.79,112.61,-76.015,-77.693,448.44,-20.317,0.45118,428.69,1.7041,19.642,755.16
17,-104.65,17.954,771.54,-77.724,29.697,125.1,-38.416,44.677,112.46,-74.354,-79.009,449.41,-19.063,-0.16289,428.84,1.8787,17.232,755.48
18,-103.75,20.393,770.66,-79.714,30.877,125.67,-39.013,46.272,111.91,-73.517,-79.055,450.33,-18.306,-1.382,430.18,2.7431,15.77,755.31
19,-102.69,21.018,770.55,-82.914,30.835,127.73,-39.612,47.506,111.28,-73.915,-77.347,449.74,-17.331,-1.4521,430.67,3.1446,17.136,754.98
20,-104.83,16.73,773.89,-86.78,29.677,129.56,-39.709,48.464,111.42,-74.409,-76.282,447.91,-16.571,-2.0606,430.35,3.5556,20.754,754.81
21,-108.78,16.053,775.96,-93.123,26.161,132.78,-39.788,49.558,111.76,-74.549,-76.627,445.71,-16.424,-2.3062,429.2,4.2338,27.255,754.18
22,-113.14,16.052,777.89,-102.05,22.456,136.35,-40.103,51.802,111.67,-75.141,-77.625,444.2,-16.38,-2.5987,427.19,4.4347,31.489,753.58
